vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
deepblue,,flower,green,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,2.5474999999999994,1,train
orange,,flower,lightblue,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,1.6166999999880716,1,train
purple,,flower,lightblue,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,0.5831000000238333,1,train
orange,,flower,lightblue,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,0.7664000000059588,1,train
green,,flower,red,,English,Memory,175678,67506d364db3a23909eae9bc,8.862199999988064,,2025-05-05_13h09.37.681,,2025-05-05,1.3924000000059777,1,trial
green,,flower,yellow,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,1.1321999999880745,1,trial
green,,flower,lightblue,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,1.117999999999995,1,trial
purple,,flower,lightblue,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,0.48289999997615496,1,trial
orange,,flower,green,,English,Memory,175678,67506d364db3a23909eae9bc,3.065099999994061,,2025-05-05_13h09.37.681,,2025-05-05,1.1659999999999968,1,trial
deepblue,,flower,yellow,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,0.9352999999821066,1,trial
purple,,flower,red,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,0.9663000000119268,1,trial
green,,flower,yellow,,English,Memory,175678,67506d364db3a23909eae9bc,2.9153000000119107,,2025-05-05_13h09.37.681,,2025-05-05,1.1160999999940486,1,trial
deepblue,,flower,red,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,1.0657999999821186,1,trial
green,,flower,yellow,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,0.8826999999880627,1,trial
orange,,flower,lightblue,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,1.0161999999880607,1,trial
orange,,flower,lightblue,,English,,175678,67506d364db3a23909eae9bc,,,2025-05-05_13h09.37.681,,2025-05-05,0.34880000001192,1,trial
