vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
green,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,1.6387000000029808,1,train
purple,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.7992999999970181,1,train
purple,,vase,green,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.5664000000059595,1,train
green,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.800099999994039,1,train
green,,vase,red,,English,Memory,342131,676056c4ad585b4aeebf6154,2.8776999999880744,,2025-05-05_12h35.14.161,,2025-05-05,1.6570999999940383,1,trial
orange,,vase,green,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,1.0165000000000006,1,trial
deepblue,,vase,green,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.9328999999910579,1,trial
orange,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.7982999999970204,1,trial
deepblue,,vase,green,,English,Memory,342131,676056c4ad585b4aeebf6154,1.2830000000000013,,2025-05-05_12h35.14.161,,2025-05-05,0.7823999999910569,1,trial
orange,,vase,yellow,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.8971000000089404,1,trial
green,,vase,yellow,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.43229999999702073,1,trial
green,,vase,lightblue,,English,Memory,342131,676056c4ad585b4aeebf6154,1.0492000000029833,,2025-05-05_12h35.14.161,,2025-05-05,0.43270000000298126,1,trial
green,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.4829000000059622,1,trial
purple,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.665200000002983,1,trial
deepblue,,vase,red,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.9490000000000052,1,trial
purple,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.6656000000089506,1,trial
green,,vase,red,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.6655999999940434,1,trial
orange,,vase,yellow,,English,Memory,342131,676056c4ad585b4aeebf6154,1.081799999997017,,2025-05-05_12h35.14.161,,2025-05-05,0.6821999999880859,1,trial
green,,vase,red,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.5155999999940377,1,trial
orange,,vase,lightblue,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.7648999999910586,1,trial
orange,,vase,yellow,,English,,342131,676056c4ad585b4aeebf6154,,,2025-05-05_12h35.14.161,,2025-05-05,0.6004000000059619,1,trial
