vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,flower,lightblue,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,5.1905,0,train
purple,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,5.063500000000005,1,train
orange,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,3.3642999999523227,1,train
deepblue,,flower,yellow,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.948399999856946,1,train
orange,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.7822999999523148,1,train
orange,,flower,lightblue,,English,Memory,434808,67684dd84deabe73a9da9353,7.859999999999999,,2025-05-05_10h08.45.866,,2025-05-05,1.5923000001907326,1,trial
deepblue,,flower,red,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.381900000095385,1,trial
orange,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.6155999999046458,1,trial
green,,flower,red,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.4653999998569418,1,trial
purple,,flower,red,,English,Memory,434808,67684dd84deabe73a9da9353,4.280599999904638,,2025-05-05_10h08.45.866,,2025-05-05,1.0324999999999989,1,trial
green,,flower,red,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.1980999999046276,1,trial
deepblue,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.4650999999046235,1,trial
orange,,flower,lightblue,,English,Memory,434808,67684dd84deabe73a9da9353,4.530000000000001,,2025-05-05_10h08.45.866,,2025-05-05,1.2327000000476858,1,trial
green,,flower,yellow,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,0.6164000000953536,1,trial
purple,,flower,lightblue,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.115000000000009,1,trial
purple,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.2985999999046385,1,trial
purple,,flower,lightblue,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.3152999999523445,1,trial
green,,flower,lightblue,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,0.9156000001430584,1,trial
deepblue,,flower,green,,English,Memory,434808,67684dd84deabe73a9da9353,2.049099999904655,,2025-05-05_10h08.45.866,,2025-05-05,1.2150000000000034,1,trial
deepblue,,flower,red,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.3489000000953695,1,trial
green,,flower,lightblue,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.1658000001907283,1,trial
purple,,flower,lightblue,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,0.7657000000476728,1,trial
orange,,flower,yellow,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.2158000001907396,1,trial
purple,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.5152999999523047,1,trial
deepblue,,flower,yellow,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.298900000095358,1,trial
deepblue,,flower,yellow,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,0.8329999999999984,1,trial
orange,1.9422000000476771,flower,lightblue,1,English,Memory,434808,67684dd84deabe73a9da9353,6.457300000190742,,2025-05-05_10h08.45.866,,2025-05-05,6.117400000095358,1,trial
purple,,flower,red,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.4322000000476862,1,trial
orange,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.5822000000476635,1,trial
deepblue,,flower,red,,English,Memory,434808,67684dd84deabe73a9da9353,2.198400000095347,,2025-05-05_10h08.45.866,,2025-05-05,1.3489000000953695,1,trial
orange,,flower,lightblue,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.382600000143043,1,trial
purple,,flower,green,,English,,434808,67684dd84deabe73a9da9353,,,2025-05-05_10h08.45.866,,2025-05-05,1.2819000000953622,1,trial
