vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
deepblue,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,4.557000000000002,1,train
green,,vase,yellow,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,3.441299999999991,1,train
deepblue,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.5414999999999992,1,train
green,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.8496999999999488,1,train
green,,vase,red,,English,Memory,508047,67744dd5d793cc3d79ba38fc,6.590600000000045,,2025-05-05_11h31.11.131,,2025-05-05,1.671399999999963,1,trial
deepblue,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,2.6744999999999948,1,trial
purple,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.3662999999999812,1,trial
deepblue,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.9413000000000409,1,trial
purple,,vase,red,,English,Memory,508047,67744dd5d793cc3d79ba38fc,4.649699999999953,,2025-05-05_11h31.11.131,,2025-05-05,1.31640000000003,1,trial
orange,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,2.090999999999994,1,trial
purple,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.715999999999994,1,trial
green,,vase,yellow,,English,Memory,508047,67744dd5d793cc3d79ba38fc,5.482299999999924,,2025-05-05_11h31.11.131,,2025-05-05,1.249900000000025,1,trial
green,,vase,yellow,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.3159000000000276,1,trial
purple,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.366500000000002,1,trial
deepblue,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.6415000000000077,1,trial
orange,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.1914999999999907,1,trial
deepblue,,vase,yellow,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.3656999999999613,1,trial
green,,vase,lightblue,,English,Memory,508047,67744dd5d793cc3d79ba38fc,1.6244999999999976,,2025-05-05_11h31.11.131,,2025-05-05,1.2409000000000248,1,trial
deepblue,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.849699999999956,1,trial
purple,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.6493000000000393,1,trial
green,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.408200000000079,1,trial
orange,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.2664000000000044,1,trial
purple,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.2409999999999854,1,trial
deepblue,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.290800000000047,1,trial
deepblue,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.2079999999999984,1,trial
orange,1.5970000000000084,vase,yellow,1,English,Guess,508047,67744dd5d793cc3d79ba38fc,3.3328000000000486,,2025-05-05_11h31.11.131,,2025-05-05,6.065300000000036,1,trial
green,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,2.2328000000000543,1,trial
green,,vase,yellow,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.0250000000000057,1,trial
orange,,vase,yellow,,English,Memory,508047,67744dd5d793cc3d79ba38fc,7.974999999999994,,2025-05-05_11h31.11.131,,2025-05-05,1.3423999999999978,1,trial
orange,,vase,yellow,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.4249000000000365,1,trial
green,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.1579000000000406,1,trial
orange,,vase,yellow,,English,Memory,508047,67744dd5d793cc3d79ba38fc,2.316300000000041,,2025-05-05_11h31.11.131,,2025-05-05,1.1495999999999924,1,trial
purple,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.5242000000000644,1,trial
green,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.2579000000000065,1,trial
purple,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.0749000000000137,1,trial
deepblue,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.6328000000000316,1,trial
orange,,vase,green,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.6659999999999968,1,trial
orange,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.1164000000000271,1,trial
green,,vase,yellow,,English,Memory,508047,67744dd5d793cc3d79ba38fc,2.3912999999999442,,2025-05-05_11h31.11.131,,2025-05-05,1.9493999999999119,1,trial
purple,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.0413000000000636,1,trial
deepblue,,vase,yellow,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.5908000000000584,1,trial
purple,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,0.91569999999993,1,trial
deepblue,,vase,yellow,,English,Memory,508047,67744dd5d793cc3d79ba38fc,2.1996999999999503,,2025-05-05_11h31.11.131,,2025-05-05,1.0079000000000349,1,trial
deepblue,,vase,red,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.9744999999999777,1,trial
purple,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,2.0740999999999588,1,trial
green,,vase,lightblue,,English,,508047,67744dd5d793cc3d79ba38fc,,,2025-05-05_11h31.11.131,,2025-05-05,1.5081999999999312,1,trial
deepblue,,flower,green,,English,Guess,508047,67744dd5d793cc3d79ba38fc,3.0637000000000967,8.490999999999985,2025-05-05_11h31.11.131,0,2025-05-05,2.230399999999918,1,surprise
deepblue,,flower,green,,English,Memory,508047,67744dd5d793cc3d79ba38fc,2.559500000000014,2.6415999999999826,2025-05-05_11h31.11.131,1,2025-05-05,1.7659999999999627,1,surprise
green,,flower,red,,English,Memory,508047,67744dd5d793cc3d79ba38fc,2.71550000000002,2.374900000000025,2025-05-05_11h31.11.131,1,2025-05-05,4.4915999999999485,1,surprise
orange,,flower,green,,English,Memory,508047,67744dd5d793cc3d79ba38fc,1.8823999999999046,2.3577999999999406,2025-05-05_11h31.11.131,1,2025-05-05,4.074900000000014,1,surprise
