vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,32.962999999999994,1,train
purple,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.666199999928466,1,train
orange,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.3756000000238373,1,train
deepblue,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.617999999999995,1,train
deepblue,,flower,green,,English,Memory,616284,6774b1edcec34c5f0478b968,22.703300000071522,,2025-05-05_08h36.04.810,,2025-05-05,0.9223999999761645,1,trial
deepblue,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.482899999976155,1,trial
deepblue,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.415799999952327,1,trial
orange,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,0.7754000000953738,1,trial
orange,,flower,green,,English,Memory,616284,6774b1edcec34c5f0478b968,5.5833999999761375,,2025-05-05_08h36.04.810,,2025-05-05,1.2803999999761686,1,trial
purple,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.374600000023861,1,trial
purple,,flower,red,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.2148000000715342,1,trial
deepblue,,flower,red,,English,Memory,616284,6774b1edcec34c5f0478b968,1.4931999999284642,,2025-05-05_08h36.04.810,,2025-05-05,1.7737000000476826,1,trial
deepblue,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,0.8838999999761654,1,trial
orange,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,0.6229999999999905,1,trial
purple,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.23210000002382,1,trial
deepblue,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,0.8988999999761518,1,trial
orange,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.2503000000715474,1,trial
green,,flower,red,,English,Memory,616284,6774b1edcec34c5f0478b968,17.20519999992848,,2025-05-05_08h36.04.810,,2025-05-05,1.3042999999523488,1,trial
green,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.048899999976129,1,trial
purple,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.182800000071495,1,trial
orange,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.521399999976154,1,trial
green,,flower,red,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.5522999999523108,1,trial
orange,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.3002999999523013,1,trial
deepblue,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.0384000000953506,1,trial
purple,,flower,red,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.1170000000000186,1,trial
orange,2.7236000000238505,flower,lightblue,1,English,Memory,616284,6774b1edcec34c5f0478b968,1.6482999999523145,,2025-05-05_08h36.04.810,,2025-05-05,5.594599999904631,0,trial
deepblue,,flower,red,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,0.9036000000238573,1,trial
purple,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.419499999999971,1,trial
green,,flower,red,,English,Memory,616284,6774b1edcec34c5f0478b968,1.8166000000238682,,2025-05-05_08h36.04.810,,2025-05-05,1.2711000000238073,1,trial
orange,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.1190999999046767,1,trial
orange,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.0894999999999868,1,trial
purple,,flower,red,,English,Memory,616284,6774b1edcec34c5f0478b968,1.8798999999761463,,2025-05-05_08h36.04.810,,2025-05-05,1.6031999999284494,1,trial
green,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.3493999999761286,1,trial
purple,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,0.6345000000000027,1,trial
deepblue,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.0157999999523213,1,trial
green,,flower,yellow,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,0.9516999999285076,1,trial
green,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.1803999999761459,1,trial
purple,,flower,red,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.5076999999284908,1,trial
purple,,flower,green,,English,Memory,616284,6774b1edcec34c5f0478b968,2.077599999904635,,2025-05-05_08h36.04.810,,2025-05-05,2.330899999976168,1,trial
orange,,flower,green,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.9318000000715188,1,trial
purple,,flower,lightblue,,English,,616284,6774b1edcec34c5f0478b968,,,2025-05-05_08h36.04.810,,2025-05-05,1.0994000000953292,1,trial
