random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,3.6831999998092613,1,train
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,green,668641,,vase,English,,2025-04-09,1.0176000003814636,1,train
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,2.206399999618526,1,train
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,1.0853000001907276,1,train
,,red,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,deepblue,668641,7.631,vase,English,,2025-04-09,1.429000000000002,1,trial
,,red,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,1.084300000190737,1,trial
,,red,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,green,668641,,vase,English,,2025-04-09,0.8774999999999977,1,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,1.1011000003814786,1,trial
,,red,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,purple,668641,3.3023999996185296,vase,English,,2025-04-09,1.0328000001907185,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,1.8836999998092665,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,1.2157999992370492,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,purple,668641,4.285499999999985,vase,English,,2025-04-09,1.1330000000000098,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.9001000003814852,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,1.0326000003814784,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,0.9507000007629358,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,0.7983999996185389,1,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,0.7837000007629626,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,green,668641,3.60280000019074,vase,English,,2025-04-09,0.7172000007629435,1,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,0.9667999992370824,1,trial
,,red,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.9153999996185291,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,0.950000000000017,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,green,668641,,vase,English,,2025-04-09,0.949900000572228,1,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,green,668641,,vase,English,,2025-04-09,0.7326999998092845,1,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,1.0001999998092685,1,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,0.715599999427809,1,trial
7.140199999809255,1,lightblue,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,green,668641,5.102000000000004,vase,English,,2025-04-09,5.100399999618531,0,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,green,668641,,vase,English,,2025-04-09,0.9659000005722191,1,trial
,,red,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.817600000381475,1,trial
,,red,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,green,668641,2.6844000005721966,vase,English,,2025-04-09,0.9651000003814829,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.8001999998092515,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.7003000001907367,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,green,668641,3.1674000005722007,vase,English,,2025-04-09,0.9816999998092797,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,1.1008999996185196,1,trial
,,red,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.7328000001907355,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.7175999994277902,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.7996999998092633,1,trial
,,lightblue,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,1.050699999809268,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,purple,668641,,vase,English,,2025-04-09,0.9007999992370799,1,trial
,,yellow,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,green,668641,2.002599999427815,vase,English,,2025-04-09,0.8328999996185473,1,trial
,,yellow,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,1.0504999999999995,1,trial
,,red,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,0.8327999992370678,1,trial
,,red,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,green,668641,,vase,English,,2025-04-09,0.9674999999999727,1,trial
,,yellow,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,,deepblue,668641,1.7334999999999923,vase,English,,2025-04-09,0.7170000000000414,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,1.149499999999989,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,orange,668641,,vase,English,,2025-04-09,0.8318999996185426,1,trial
,,green,67807c7e801a0ca7691d17fe,,2025-04-09_09h58.05.930,,deepblue,668641,,vase,English,,2025-04-09,0.9830000000000041,1,trial
,,red,67807c7e801a0ca7691d17fe,Other,2025-04-09_09h58.05.930,0,green,668641,22.5101000003815,flower,English,2.1336999998092665,2025-04-09,6.551400000572244,0,surprise
,,yellow,67807c7e801a0ca7691d17fe,Memory,2025-04-09_09h58.05.930,0,green,668641,8.703899999618557,flower,English,1.2161999998092483,2025-04-09,7.037500000000023,1,surprise
,,red,67807c7e801a0ca7691d17fe,Guess,2025-04-09_09h58.05.930,0,purple,668641,2.89259999942783,flower,English,12.05670000076293,2025-04-09,6.242600000381458,0,surprise
,,green,67807c7e801a0ca7691d17fe,Guess,2025-04-09_09h58.05.930,0,orange,668641,6.3698999996185535,flower,English,7.871199999809278,2025-04-09,2.490199999809249,0,surprise
