random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,orange,59755,,vase,English,,2025-04-09,2.7659999999999982,1,train
,,lightblue,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,green,59755,,vase,English,,2025-04-09,1.0690000000000026,1,train
,,yellow,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,green,59755,,vase,English,,2025-04-09,0.5139999999999958,1,train
,,lightblue,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,purple,59755,,vase,English,,2025-04-09,0.902000000000001,1,train
,,red,67817072744db590327b7f30,Memory,2025-04-09_06h35.32.529,,green,59755,5.670999999999992,vase,English,,2025-04-09,0.9129999999999967,1,trial
,,green,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,deepblue,59755,,vase,English,,2025-04-09,1.4860000000000042,1,trial
,,red,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,deepblue,59755,,vase,English,,2025-04-09,0.7830000000000013,1,trial
,,red,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,green,59755,,vase,English,,2025-04-09,0.9989999999999952,1,trial
,,green,67817072744db590327b7f30,Memory,2025-04-09_06h35.32.529,,orange,59755,2.453000000000003,vase,English,,2025-04-09,0.8460000000000036,1,trial
,,green,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,purple,59755,,vase,English,,2025-04-09,2.652000000000001,1,trial
,,red,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,deepblue,59755,,vase,English,,2025-04-09,0.9669999999999987,1,trial
,,lightblue,67817072744db590327b7f30,Memory,2025-04-09_06h35.32.529,,purple,59755,1.921999999999997,vase,English,,2025-04-09,0.6850000000000023,1,trial
,,green,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,purple,59755,,vase,English,,2025-04-09,0.9350000000000023,1,trial
,,yellow,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,green,59755,,vase,English,,2025-04-09,0.7019999999999982,1,trial
,,lightblue,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,orange,59755,,vase,English,,2025-04-09,0.867999999999995,1,trial
,,red,67817072744db590327b7f30,,2025-04-09_06h35.32.529,,deepblue,59755,,vase,English,,2025-04-09,0.9500000000000028,1,trial
