vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,lightblue,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,22.747400000002244,0,train
green,,vase,yellow,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,3.3782000000030052,1,train
orange,,vase,lightblue,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.3318000000007828,0,train
green,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.4288000000008196,0,train
orange,,vase,lightblue,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.173099999997703,0,train
orange,,vase,lightblue,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,3.4674999999999727,1,train
green,,vase,lightblue,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.249300000000744,1,train
purple,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.383100000001491,1,train
deepblue,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.4331999999992604,1,train
purple,,vase,lightblue,,English,Memory,340755,6787d648d7b1963c661f9443,8.904699999999252,,2025-05-05_13h24.52.793,,2025-05-05,1.2788000000007287,1,trial
orange,,vase,lightblue,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.480600000001573,1,trial
deepblue,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.887800000000766,1,trial
green,,vase,yellow,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.6967999999969834,1,trial
orange,,vase,green,,English,Memory,340755,6787d648d7b1963c661f9443,3.755800000000704,,2025-05-05_13h24.52.793,,2025-05-05,1.6772000000029266,1,trial
purple,,vase,green,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.3443999999984726,1,trial
orange,,vase,green,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.3988000000007332,1,trial
orange,,vase,yellow,,English,Memory,340755,6787d648d7b1963c661f9443,2.3419000000022834,,2025-05-05_13h24.52.793,,2025-05-05,1.9400999999977557,1,trial
deepblue,,vase,yellow,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.9111999999992122,1,trial
purple,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.696800000000735,1,trial
deepblue,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.8093000000006896,1,trial
green,,vase,yellow,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.761600000001522,1,trial
deepblue,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.5628000000008342,1,trial
deepblue,,vase,yellow,,English,Memory,340755,6787d648d7b1963c661f9443,3.275099999997792,,2025-05-05_13h24.52.793,,2025-05-05,1.051300000000765,1,trial
deepblue,,vase,yellow,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.2076999999992495,1,trial
orange,,vase,lightblue,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.196200000002932,1,trial
deepblue,,vase,green,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.6730000000000018,1,trial
green,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,1.5651999999992086,1,trial
purple,,vase,green,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,2.233099999997762,1,trial
purple,,vase,red,,English,,340755,6787d648d7b1963c661f9443,,,2025-05-05_13h24.52.793,,2025-05-05,0.8524999999999636,1,trial
