vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,13.791200000000188,0,train
purple,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,2.1057000000001835,1,train
purple,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.9165999999996188,1,train
deepblue,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.6340000000000146,1,train
orange,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.5162000000001683,1,train
purple,,vase,lightblue,,English,Memory,614365,678a0a90ac553c2f4b301c67,4.596000000000004,,2025-05-05_12h29.36.483,,2025-05-05,0.9579000000003646,1,trial
orange,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.1332999999998208,1,trial
deepblue,,vase,yellow,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.8445999999996445,1,trial
purple,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.211500000000001,1,trial
purple,,vase,red,,English,Memory,614365,678a0a90ac553c2f4b301c67,1.9464999999999861,,2025-05-05_12h29.36.483,,2025-05-05,0.7495000000000118,1,trial
deepblue,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.7482000000001676,1,trial
green,,vase,yellow,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.2822999999997933,1,trial
deepblue,,vase,yellow,,English,Memory,614365,678a0a90ac553c2f4b301c67,1.7006000000005486,,2025-05-05_12h29.36.483,,2025-05-05,0.849000000000018,1,trial
deepblue,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.084399999999448,1,trial
orange,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.8340000000000032,1,trial
green,,vase,yellow,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.8649000000003753,1,trial
orange,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.8549000000003844,1,trial
orange,,vase,yellow,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.26359999999962724,1,trial
orange,,vase,yellow,,English,Memory,614365,678a0a90ac553c2f4b301c67,1.4470999999996366,,2025-05-05_12h29.36.483,,2025-05-05,0.28409999999962565,1,trial
deepblue,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.2631000000005486,1,trial
green,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,3.484199999999248,1,trial
purple,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.3862999999998067,1,trial
orange,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.2489000000003614,1,trial
purple,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.2159000000003743,1,trial
orange,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.118900000000366,1,trial
green,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.9315999999996336,1,trial
green,2.661500000000018,vase,yellow,1,English,Guess,614365,678a0a90ac553c2f4b301c67,1.8472000000001572,,2025-05-05_12h29.36.483,,2025-05-05,2.819299999999828,0,trial
orange,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.7002000000001658,1,trial
deepblue,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.0380999999996448,1,trial
green,,vase,lightblue,,English,Memory,614365,678a0a90ac553c2f4b301c67,1.3170999999996411,,2025-05-05_12h29.36.483,,2025-05-05,0.7484999999999786,1,trial
purple,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.4495999999996343,1,trial
purple,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.4320999999996502,1,trial
green,,vase,red,,English,Memory,614365,678a0a90ac553c2f4b301c67,0.9320000000000164,,2025-05-05_12h29.36.483,,2025-05-05,0.49709999999964793,1,trial
deepblue,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.5838999999994599,1,trial
deepblue,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.630800000000761,1,trial
green,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.9504000000003998,1,trial
green,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.44620000000020354,1,trial
deepblue,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.0139999999999532,1,trial
purple,,vase,green,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.7667999999998187,1,trial
orange,,vase,lightblue,,English,Memory,614365,678a0a90ac553c2f4b301c67,1.8506999999992217,,2025-05-05_12h29.36.483,,2025-05-05,1.232500000000016,1,trial
green,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.46649999999999636,1,trial
deepblue,,vase,yellow,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.382599999999627,1,trial
purple,,vase,red,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,0.7455999999996266,1,trial
green,,vase,yellow,,English,Memory,614365,678a0a90ac553c2f4b301c67,2.1345000000000027,,2025-05-05_12h29.36.483,,2025-05-05,0.9967999999997801,1,trial
deepblue,,vase,yellow,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.0997999999997887,1,trial
orange,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.1109000000003562,1,trial
green,,vase,lightblue,,English,,614365,678a0a90ac553c2f4b301c67,,,2025-05-05_12h29.36.483,,2025-05-05,1.0157999999998424,1,trial
orange,,flower,green,,English,Guess,614365,678a0a90ac553c2f4b301c67,1.871100000000581,4.921599999999614,2025-05-05_12h29.36.483,1,2025-05-05,2.6049999999999613,1,surprise
purple,,flower,red,,English,Guess,614365,678a0a90ac553c2f4b301c67,1.9671000000005279,2.4327999999998156,2025-05-05_12h29.36.483,0,2025-05-05,2.6539000000003625,1,surprise
green,,flower,red,,English,Memory,614365,678a0a90ac553c2f4b301c67,1.0832999999998378,2.9330999999996266,2025-05-05_12h29.36.483,0,2025-05-05,1.1372000000002345,1,surprise
purple,,flower,lightblue,,English,Memory,614365,678a0a90ac553c2f4b301c67,1.614700000000198,2.8996000000005324,2025-05-05_12h29.36.483,0,2025-05-05,1.2992000000002122,1,surprise
