vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,flower,yellow,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,1.0648999996185289,1,train
green,,flower,red,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.5196999998092657,1,train
deepblue,,flower,yellow,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.5666999998092663,1,train
green,,flower,lightblue,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.5833000001907322,1,train
orange,,flower,lightblue,,English,Memory,246456,678e978dfeca0ba2fca8109f,5.1492000002861005,,2025-05-05_09h03.05.455,,2025-05-05,0.5144999999999982,1,trial
purple,,flower,red,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.8595000000000041,1,trial
orange,,flower,yellow,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.44289999961853255,1,trial
deepblue,,flower,yellow,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.5330000000000013,1,trial
green,,flower,lightblue,,English,Memory,246456,678e978dfeca0ba2fca8109f,1.3163000001907363,,2025-05-05_09h03.05.455,,2025-05-05,0.5163000001907321,1,trial
deepblue,,flower,red,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.8003999996185343,1,trial
green,,flower,yellow,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.4762999997138877,1,trial
orange,,flower,green,,English,Memory,246456,678e978dfeca0ba2fca8109f,1.3233000001907413,,2025-05-05_09h03.05.455,,2025-05-05,0.7599000000953708,1,trial
deepblue,,flower,red,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.6996000003814657,1,trial
purple,,flower,green,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.8329000000953641,1,trial
green,,flower,red,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.5763000001907272,1,trial
green,,flower,lightblue,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.48309999990463837,1,trial
green,,flower,yellow,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.5165999999046278,1,trial
purple,,flower,lightblue,,English,Memory,246456,678e978dfeca0ba2fca8109f,1.0333999996185241,,2025-05-05_09h03.05.455,,2025-05-05,0.7665999999046278,1,trial
green,,flower,red,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.7665000000000077,1,trial
green,,flower,lightblue,,English,,246456,678e978dfeca0ba2fca8109f,,,2025-05-05_09h03.05.455,,2025-05-05,0.7503000001907338,1,trial
