vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
green,,flower,lightblue,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,1.5152000000029808,0,train
orange,,flower,yellow,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.9830000000000041,1,train
purple,,flower,red,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.7331999999880807,1,train
orange,,flower,green,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.8164999999999978,1,train
purple,,flower,green,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.7168000000119221,1,train
deepblue,,flower,red,,English,Other,114134,67914a71e31261f2ae882759,9.199900000005954,,2025-05-05_10h32.42.453,,2025-05-05,0.71519999998808,1,trial
orange,,flower,yellow,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.8164999999999907,1,trial
orange,,flower,yellow,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.6333000000119142,1,trial
purple,,flower,green,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.783200000002978,1,trial
purple,,flower,lightblue,,English,Other,114134,67914a71e31261f2ae882759,4.18340000000596,,2025-05-05_10h32.42.453,,2025-05-05,0.5999000000059596,1,trial
purple,,flower,lightblue,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.6495999999940381,1,trial
orange,,flower,lightblue,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.8832999999970212,1,trial
orange,,flower,lightblue,,English,Memory,114134,67914a71e31261f2ae882759,2.9502000000029796,,2025-05-05_10h32.42.453,,2025-05-05,0.399799999997029,1,trial
deepblue,,flower,yellow,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.7662999999970168,1,trial
deepblue,,flower,red,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,1.0499999999999972,1,trial
green,,flower,yellow,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.774800000011922,1,trial
deepblue,,flower,red,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.7497999999970233,1,trial
deepblue,,flower,yellow,,English,,114134,67914a71e31261f2ae882759,,,2025-05-05_10h32.42.453,,2025-05-05,0.5163999999910516,1,trial
