random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,orange,164640,,flower,English,,2025-04-09,1.1311000000014921,1,train
,,red,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,deepblue,164640,,flower,English,,2025-04-09,2.331899999998516,0,train
,,green,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,orange,164640,,flower,English,,2025-04-09,0.6995000000000005,1,train
,,lightblue,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,green,164640,,flower,English,,2025-04-09,0.6207000000029836,1,train
,,yellow,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,green,164640,,flower,English,,2025-04-09,0.7322000000029831,1,train
,,red,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,purple,164640,,flower,English,,2025-04-09,0.6989999999999981,1,train
,,yellow,67b60e955ba983e69c97b9fc,Memory,2025-04-09_09h20.59.433,,green,164640,3.1498999999910566,flower,English,,2025-04-09,0.5977000000029804,1,trial
,,yellow,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,orange,164640,,flower,English,,2025-04-09,0.41449999999999676,1,trial
,,yellow,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,orange,164640,,flower,English,,2025-04-09,0.3661999999880834,1,trial
,,red,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,deepblue,164640,,flower,English,,2025-04-09,0.665099999994041,1,trial
,,lightblue,67b60e955ba983e69c97b9fc,Memory,2025-04-09_09h20.59.433,,green,164640,1.5656999999880838,flower,English,,2025-04-09,0.7659000000059635,1,trial
,,red,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,purple,164640,,flower,English,,2025-04-09,0.7325999999940365,1,trial
,,lightblue,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,green,164640,,flower,English,,2025-04-09,0.5336000000089456,1,trial
,,yellow,67b60e955ba983e69c97b9fc,Memory,2025-04-09_09h20.59.433,,deepblue,164640,0.9498999999910609,flower,English,,2025-04-09,0.5815000000000055,1,trial
,,yellow,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,orange,164640,,flower,English,,2025-04-09,0.5483999999910623,1,trial
,,green,67b60e955ba983e69c97b9fc,,2025-04-09_09h20.59.433,,deepblue,164640,,flower,English,,2025-04-09,0.881900000005956,1,trial
