random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.8001999999992577,1,train
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.5494999999999948,1,train
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.4991999999992558,1,train
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.6833999999985068,1,train
,,green,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,deepblue,197842,8.031999999999996,flower,English,,2025-04-09,0.6961000000014863,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.5996000000015016,1,trial
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.8993000000007498,1,trial
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.5829000000022262,1,trial
,,lightblue,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,purple,197842,3.5996999999992454,flower,English,,2025-04-09,0.6159999999999997,1,trial
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.6495000000000033,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.6995000000000005,1,trial
,,lightblue,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,orange,197842,2.531099999997764,flower,English,,2025-04-09,0.48369999999925994,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.5995000000000061,1,trial
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.599100000001485,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.6326999999992609,1,trial
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.6663000000007457,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.5161999999992588,1,trial
,,green,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,orange,197842,1.2164999999999964,flower,English,,2025-04-09,0.5996000000014874,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.5326999999992665,1,trial
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.8160999999977605,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.5497999999970204,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.5519000000022345,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,1.0165000000000077,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.5828000000007449,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.39930000000074983,1,trial
1.2800000000000011,1,red,67ba079d0b40d4569474bca3,Guess,2025-04-09_10h20.48.605,,purple,197842,2.466399999998515,flower,English,,2025-04-09,11.283299999997041,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.5495000000000232,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.5324999999999989,1,trial
,,green,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,purple,197842,1.5826999999992495,flower,English,,2025-04-09,0.5829999999999984,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.5833000000007473,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.64970000000298,1,trial
,,green,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,purple,197842,1.2331000000014853,flower,English,,2025-04-09,0.6653999999985274,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.5661000000014837,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.8164999999999907,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.3830000000000098,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.46629999999703386,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.4159999999999968,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.8826999999992609,1,trial
,,red,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,deepblue,197842,1.3660000000000139,flower,English,,2025-04-09,0.8328000000007307,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,orange,197842,,flower,English,,2025-04-09,0.8311999999992565,1,trial
,,green,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.7663000000007401,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.3995999999977471,1,trial
,,green,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,,deepblue,197842,1.1328999999985,flower,English,,2025-04-09,0.6660999999977548,1,trial
,,red,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,green,197842,,flower,English,,2025-04-09,0.39930000000074983,1,trial
,,yellow,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,deepblue,197842,,flower,English,,2025-04-09,0.5159999999999911,1,trial
,,lightblue,67ba079d0b40d4569474bca3,,2025-04-09_10h20.48.605,,purple,197842,,flower,English,,2025-04-09,0.7827999999970245,1,trial
,,red,67ba079d0b40d4569474bca3,Guess,2025-04-09_10h20.48.605,0,purple,197842,3.7151000000014847,vase,English,5.933000000000021,2025-04-09,3.631500000000017,0,surprise
,,lightblue,67ba079d0b40d4569474bca3,Memory,2025-04-09_10h20.48.605,1,green,197842,1.9661000000014894,vase,English,1.5165000000000077,2025-04-09,4.333199999999266,0,surprise
