random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,1.2280000000000015,1,train
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.666999999999998,1,train
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.4660000000000011,1,train
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.30299999999999727,1,train
,,green,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,purple,363723,3.7319999999999993,vase,English,,2025-04-09,0.4089999999999989,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.3990000000000009,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.6829999999999998,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,0.9680000000000035,1,trial
,,yellow,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,deepblue,363723,1.5489999999999995,vase,English,,2025-04-09,0.7330000000000041,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.6660000000000039,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.5319999999999965,1,trial
,,green,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,orange,363723,1.198999999999998,vase,English,,2025-04-09,0.7160000000000011,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,0.6850000000000023,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.7989999999999924,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.5160000000000053,1,trial
,,green,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.5990000000000038,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.44899999999999807,1,trial
,,lightblue,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,orange,363723,1.483000000000004,vase,English,,2025-04-09,0.5990000000000038,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.3509999999999991,1,trial
,,green,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,0.44899999999999807,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,0.5480000000000018,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.5150000000000006,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.49800000000000466,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.5840000000000032,1,trial
,,green,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.3190000000000026,1,trial
2.947999999999979,1,red,67be1925d24e02651a03e83c,Guess,2025-04-09_11h54.52.930,,deepblue,363723,2.3009999999999877,vase,English,,2025-04-09,5.965000000000003,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,0.3649999999999949,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.36599999999999966,1,trial
,,green,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,purple,363723,1.531000000000006,vase,English,,2025-04-09,0.3990000000000009,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.36599999999999966,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,0.33200000000000784,1,trial
,,lightblue,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,green,363723,1.1490000000000151,vase,English,,2025-04-09,0.75,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.3329999999999984,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.4989999999999952,1,trial
,,green,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.5320000000000107,1,trial
,,green,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,1.4499999999999886,1,trial
,,green,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.6670000000000016,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,purple,363723,,vase,English,,2025-04-09,0.34899999999998954,1,trial
,,yellow,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,green,363723,0.9000000000000057,vase,English,,2025-04-09,0.45000000000001705,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.28199999999998226,1,trial
,,yellow,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.6839999999999975,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.4329999999999927,1,trial
,,green,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,,orange,363723,0.9010000000000105,vase,English,,2025-04-09,0.2810000000000059,1,trial
,,lightblue,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,orange,363723,,vase,English,,2025-04-09,0.2669999999999959,1,trial
,,green,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,deepblue,363723,,vase,English,,2025-04-09,0.9660000000000082,1,trial
,,red,67be1925d24e02651a03e83c,,2025-04-09_11h54.52.930,,green,363723,,vase,English,,2025-04-09,0.3189999999999884,1,trial
,,lightblue,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,0,orange,363723,1.8460000000000036,flower,English,0.3480000000000132,2025-04-09,1.76400000000001,1,surprise
,,red,67be1925d24e02651a03e83c,Guess,2025-04-09_11h54.52.930,0,purple,363723,2.015000000000015,flower,English,5.032999999999987,2025-04-09,4.318000000000012,0,surprise
,,yellow,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,1,green,363723,0.7990000000000066,flower,English,1.7659999999999911,2025-04-09,0.6829999999999927,1,surprise
,,green,67be1925d24e02651a03e83c,Memory,2025-04-09_11h54.52.930,1,purple,363723,1.450000000000017,flower,English,1.282999999999987,2025-04-09,0.7659999999999911,1,surprise
