random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,1.436100000023842,1,train
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,1.0189999999999912,1,train
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,1.1995000000000005,1,train
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.8797000000178912,1,train
,,yellow,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,orange,527321,2.436599999994044,vase,English,,2025-04-09,0.8566999999880807,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,1.1993000000119167,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.7193000000119127,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,0.6993000000119167,1,trial
,,red,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,purple,527321,1.5788999999761586,vase,English,,2025-04-09,0.659000000000006,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.5589000000059485,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,1.1004999999999967,1,trial
,,green,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,orange,527321,1.1396999999880677,vase,English,,2025-04-09,0.5994000000059572,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.5924000000059522,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.5190999999940402,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.5194000000059589,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,0.8672999999821087,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,0.5521999999880762,1,trial
,,green,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,deepblue,527321,1.9392999999821114,vase,English,,2025-04-09,1.138900000005961,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,1.1794000000059697,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,0.5802000000178822,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,0.6201999999880883,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.6595999999940432,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,0.7390999999940391,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.9586999999880845,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.5795999999940591,1,trial
2.1159000000059507,1,red,67be31866f5cf32a9c47a58f,Guess,2025-04-09_09h32.20.503,,green,527321,5.377900000005951,vase,English,,2025-04-09,2.472099999994043,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,1.3392999999821313,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,1.219400000005976,1,trial
,,green,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,purple,527321,1.5395999999940386,vase,English,,2025-04-09,0.8798000000119259,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,1.5993000000119366,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.6398999999761656,1,trial
,,yellow,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,green,527321,0.807900000005958,vase,English,,2025-04-09,0.6722999999821297,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,0.4995999999940466,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.49909999999403,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,0.739699999988062,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.5194999999999936,1,trial
,,red,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.3997999999821218,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,green,527321,,vase,English,,2025-04-09,0.3524000000059573,1,trial
,,yellow,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,green,527321,0.8990999999940357,vase,English,,2025-04-09,1.3960999999940498,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.6394999999999982,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,purple,527321,,vase,English,,2025-04-09,0.6191000000238489,1,trial
,,green,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.5384000000059643,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,,green,527321,0.9394000000059464,vase,English,,2025-04-09,1.3394999999999868,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,0.8188999999761393,1,trial
,,yellow,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,deepblue,527321,,vase,English,,2025-04-09,0.3593999999761479,1,trial
,,lightblue,67be31866f5cf32a9c47a58f,,2025-04-09_09h32.20.503,,orange,527321,,vase,English,,2025-04-09,0.7598000000119214,1,trial
,,green,67be31866f5cf32a9c47a58f,Guess,2025-04-09_09h32.20.503,0,purple,527321,1.8559999999999945,flower,English,6.201200000017877,2025-04-09,3.4545000000000243,0,surprise
,,yellow,67be31866f5cf32a9c47a58f,Guess,2025-04-09_09h32.20.503,1,deepblue,527321,2.1986999999880936,flower,English,5.118800000011902,2025-04-09,1.8787999999821068,1,surprise
,,lightblue,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,1,green,527321,1.1394000000059634,flower,English,1.639599999994033,2025-04-09,1.179000000000002,0,surprise
,,green,67be31866f5cf32a9c47a58f,Memory,2025-04-09_09h32.20.503,1,deepblue,527321,1.7189000000059593,flower,English,1.6400000000000148,2025-04-09,3.5386999999880686,1,surprise
