random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,purple,137026,,flower,English,,2025-04-09,1.5081000001430525,1,train
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.6823999998569477,1,train
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.5997999999523174,1,train
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.5319999999999965,1,train
,,red,67be6a20a52466ed9267d895,Memory,2025-04-09_08h58.17.312,,purple,137026,2.7490999999046366,flower,English,,2025-04-09,1.3784000000953682,1,trial
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.8327000000476801,1,trial
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.48319999980926553,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,1.0251999998092671,1,trial
,,red,67be6a20a52466ed9267d895,Memory,2025-04-09_08h58.17.312,,green,137026,1.709100000143053,flower,English,,2025-04-09,0.5829000000953641,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.6257999999523136,1,trial
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.9315000000000069,1,trial
,,yellow,67be6a20a52466ed9267d895,Memory,2025-04-09_08h58.17.312,,orange,137026,1.0492999999523107,flower,English,,2025-04-09,0.4477000000476892,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.6344999999999885,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,purple,137026,,flower,English,,2025-04-09,0.5492999999523249,1,trial
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,purple,137026,,flower,English,,2025-04-09,0.8659000000953654,1,trial
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.3995000000000033,1,trial
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.3830000000000098,1,trial
,,lightblue,67be6a20a52466ed9267d895,Memory,2025-04-09_08h58.17.312,,purple,137026,1.3092000000476816,flower,English,,2025-04-09,0.42329999995230594,1,trial
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.6954000000953613,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.5094999999999885,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.8000000000000114,1,trial
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.5994999999999919,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,purple,137026,,flower,English,,2025-04-09,0.6832999999523253,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.3755000000000024,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,purple,137026,,flower,English,,2025-04-09,0.8504999999999967,1,trial
1.7422000000476885,1,yellow,67be6a20a52466ed9267d895,Intuition,2025-04-09_08h58.17.312,,deepblue,137026,1.799599999904629,flower,English,,2025-04-09,3.3910999999046396,0,trial
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.848899999856954,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.8160999999046368,1,trial
,,lightblue,67be6a20a52466ed9267d895,Memory,2025-04-09_08h58.17.312,,purple,137026,1.4162999999523151,flower,English,,2025-04-09,0.5664999999999907,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.8327000000476943,1,trial
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.532900000095367,1,trial
,,lightblue,67be6a20a52466ed9267d895,Memory,2025-04-09_08h58.17.312,,green,137026,1.3000000000000114,flower,English,,2025-04-09,0.38359999990464644,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.549999999999983,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.4657999999523099,1,trial
,,red,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.39920000004767076,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.5316999998092911,1,trial
,,lightblue,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.3439999999999941,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,orange,137026,,flower,English,,2025-04-09,0.5267000000476969,1,trial
,,red,67be6a20a52466ed9267d895,Memory,2025-04-09_08h58.17.312,,deepblue,137026,1.164999999999992,flower,English,,2025-04-09,0.4779000000953886,1,trial
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.7272999999523222,1,trial
,,green,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,deepblue,137026,,flower,English,,2025-04-09,0.7050000000000125,1,trial
,,yellow,67be6a20a52466ed9267d895,,2025-04-09_08h58.17.312,,green,137026,,flower,English,,2025-04-09,0.4760999999046476,1,trial
