random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,green,221425,,vase,English,,2025-04-09,1.1281999999992536,1,train
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,purple,221425,,vase,English,,2025-04-09,0.7329000000003738,1,train
,,yellow,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,green,221425,,vase,English,,2025-04-09,0.7497000000001854,1,train
,,yellow,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,deepblue,221425,,vase,English,,2025-04-09,1.5825999999996299,0,train
,,red,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,green,221425,,vase,English,,2025-04-09,0.5995999999996258,1,train
,,red,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,deepblue,221425,,vase,English,,2025-04-09,2.433,1,train
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,orange,221425,,vase,English,,2025-04-09,0.7831999999992547,1,train
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,orange,221425,,vase,English,,2025-04-09,0.5335000000000036,1,train
,,yellow,67c6f14f1dac92f66cd6b413,Memory,2025-04-09_11h50.26.883,,deepblue,221425,5.582400000000376,vase,English,,2025-04-09,0.6451999999992495,1,trial
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,purple,221425,,vase,English,,2025-04-09,0.7161999999992474,1,trial
,,green,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,deepblue,221425,,vase,English,,2025-04-09,0.883200000000187,1,trial
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,orange,221425,,vase,English,,2025-04-09,0.7334999999999923,1,trial
,,yellow,67c6f14f1dac92f66cd6b413,Memory,2025-04-09_11h50.26.883,,deepblue,221425,1.6329999999999956,vase,English,,2025-04-09,0.4660999999996278,1,trial
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,green,221425,,vase,English,,2025-04-09,0.6991000000005556,1,trial
,,lightblue,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,orange,221425,,vase,English,,2025-04-09,0.4334000000003755,1,trial
,,red,67c6f14f1dac92f66cd6b413,Memory,2025-04-09_11h50.26.883,,purple,221425,1.016400000000374,vase,English,,2025-04-09,0.4995000000000118,1,trial
,,red,67c6f14f1dac92f66cd6b413,,2025-04-09_11h50.26.883,,purple,221425,,vase,English,,2025-04-09,0.5318999999994389,1,trial
