random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,1.611899999856945,1,train
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.6636000001430489,1,train
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.45069999980925957,1,train
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,1.1157000000476813,1,train
,,green,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,orange,394878,3.0604000000953704,flower,English,,2025-04-09,0.9344000000953656,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,1.2333999998569425,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.8121999998092662,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.7777999999523217,1,trial
,,red,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,deepblue,394878,1.8252000000476727,flower,English,,2025-04-09,1.0285999999046282,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,1.0971999998092627,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,0.8762999999523089,1,trial
,,yellow,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,orange,394878,1.5477999999523178,flower,English,,2025-04-09,0.7955000000000041,1,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.7494999999999976,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,0.901799999952317,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.7394000000953724,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,0.816199999809271,1,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,0.8268999998569484,1,trial
,,lightblue,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,purple,394878,1.286799999952322,flower,English,,2025-04-09,1.0335000000000036,1,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.7997999999523131,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,1.2680000000000007,1,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,0.9162000000476667,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,0.5332000000476853,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.3935000000000173,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,0.5027999999523161,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.8755999999046367,1,trial
2.3320999999046137,1,lightblue,67c70dfba25ea66f16651726,Guess,2025-04-09_12h36.09.851,,green,394878,2.36099999999999,flower,English,,2025-04-09,3.560799999952337,0,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,1.0720999999046228,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.7590999999046346,1,trial
,,yellow,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,orange,394878,1.2726000001430293,flower,English,,2025-04-09,0.7340999999046289,1,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,1.1318000001907365,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.9509000000953733,1,trial
,,lightblue,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,purple,394878,1.281300000190754,flower,English,,2025-04-09,0.9987999999523254,1,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.5825000000000102,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,0.7500999999046201,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.8075999999046246,1,trial
,,red,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.7313999998569329,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,0.9144000000953838,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,0.6376000001430668,1,trial
,,green,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,orange,394878,1.603700000047695,flower,English,,2025-04-09,0.549999999999983,1,trial
,,green,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,purple,394878,,flower,English,,2025-04-09,0.7180999999046378,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.6169999999999902,1,trial
,,yellow,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,deepblue,394878,,flower,English,,2025-04-09,0.6836999998092779,1,trial
,,lightblue,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,,purple,394878,1.0045999999046273,flower,English,,2025-04-09,0.4266000001430541,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.8677999999523252,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,orange,394878,,flower,English,,2025-04-09,0.6317999999523067,1,trial
,,lightblue,67c70dfba25ea66f16651726,,2025-04-09_12h36.09.851,,green,394878,,flower,English,,2025-04-09,0.41669999980928196,1,trial
,,lightblue,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,0,green,394878,1.7069999999999936,vase,English,2.581899999856944,2025-04-09,1.3185000000000002,1,surprise
,,red,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,1,purple,394878,1.9160999999046169,vase,English,1.416400000095365,2025-04-09,1.2614999999999839,1,surprise
,,yellow,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,1,green,394878,1.3972000000476612,vase,English,1.5664000000953706,2025-04-09,0.8811999998092688,1,surprise
,,red,67c70dfba25ea66f16651726,Memory,2025-04-09_12h36.09.851,1,purple,394878,1.8687999999523015,vase,English,0.9858000001907214,2025-04-09,0.8887000000476633,1,surprise
