random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,red,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,deepblue,161786,,flower,English,,2025-04-09,2.993400000095363,0,train
,,green,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,orange,161786,,flower,English,,2025-04-09,2.2390000000000043,1,train
,,red,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,purple,161786,,flower,English,,2025-04-09,2.1980000000000004,0,train
,,green,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,deepblue,161786,,flower,English,,2025-04-09,0.9260999999046291,0,train
,,green,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,orange,161786,,flower,English,,2025-04-09,0.8990999999046352,0,train
,,lightblue,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,green,161786,,flower,English,,2025-04-09,0.8526000001430418,1,train
,,green,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,deepblue,161786,,flower,English,,2025-04-09,1.48289999985694,1,train
,,red,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,purple,161786,,flower,English,,2025-04-09,0.9339000000953632,1,train
,,red,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,green,161786,,flower,English,,2025-04-09,0.6319999999999908,1,train
,,yellow,67c7189e8440f0f0231ea0f3,Memory,2025-04-09_11h40.08.808,,deepblue,161786,4.557199999809271,flower,English,,2025-04-09,1.7584000000953637,1,trial
,,lightblue,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,purple,161786,,flower,English,,2025-04-09,0.6330000000000098,1,trial
,,lightblue,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,green,161786,,flower,English,,2025-04-09,0.616299999952318,1,trial
,,red,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,deepblue,161786,,flower,English,,2025-04-09,1.5493000001907262,1,trial
,,red,67c7189e8440f0f0231ea0f3,Memory,2025-04-09_11h40.08.808,,green,161786,1.8647000000476908,flower,English,,2025-04-09,0.7484000000953728,1,trial
,,lightblue,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,green,161786,,flower,English,,2025-04-09,0.9662000000476922,1,trial
,,lightblue,67c7189e8440f0f0231ea0f3,,2025-04-09_11h40.08.808,,purple,161786,,flower,English,,2025-04-09,0.6646000001430394,1,trial
