random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,purple,427215,,vase,English,,2025-04-09,0.7643999999999096,1,train
,,yellow,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,deepblue,427215,,vase,English,,2025-04-09,0.7163999999999078,1,train
,,yellow,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,orange,427215,,vase,English,,2025-04-09,0.8669999999999973,1,train
,,green,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,orange,427215,,vase,English,,2025-04-09,0.5832000000001827,1,train
,,red,67cdb331bee8f29618d631dd,Memory,2025-04-09_11h27.00.296,,purple,427215,3.932600000000093,vase,English,,2025-04-09,0.463299999999812,1,trial
,,red,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,green,427215,,vase,English,,2025-04-09,0.4998999999999114,1,trial
,,green,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,purple,427215,,vase,English,,2025-04-09,0.49969999999972003,1,trial
,,green,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,deepblue,427215,,vase,English,,2025-04-09,0.4663999999999078,1,trial
,,yellow,67cdb331bee8f29618d631dd,Memory,2025-04-09_11h27.00.296,,orange,427215,3.0498999999999086,vase,English,,2025-04-09,0.31630000000028247,1,trial
,,yellow,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,green,427215,,vase,English,,2025-04-09,0.5328999999999127,1,trial
,,green,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,purple,427215,,vase,English,,2025-04-09,0.24979999999982283,1,trial
,,lightblue,67cdb331bee8f29618d631dd,Memory,2025-04-09_11h27.00.296,,purple,427215,1.4161999999997192,vase,English,,2025-04-09,0.3824999999999932,1,trial
,,yellow,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,deepblue,427215,,vase,English,,2025-04-09,0.38299999999999557,1,trial
,,red,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,purple,427215,,vase,English,,2025-04-09,0.28329999999981226,1,trial
,,lightblue,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,orange,427215,,vase,English,,2025-04-09,0.3156000000000887,1,trial
,,lightblue,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,orange,427215,,vase,English,,2025-04-09,0.3489000000003841,1,trial
,,lightblue,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,purple,427215,,vase,English,,2025-04-09,0.4496999999997229,1,trial
,,red,67cdb331bee8f29618d631dd,Memory,2025-04-09_11h27.00.296,,green,427215,0.6496000000000919,vase,English,,2025-04-09,0.48320000000018126,1,trial
,,green,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,purple,427215,,vase,English,,2025-04-09,0.34979999999981715,1,trial
,,yellow,67cdb331bee8f29618d631dd,,2025-04-09_11h27.00.296,,orange,427215,,vase,English,,2025-04-09,0.7123999999999029,1,trial
