vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
deepblue,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,2.848900000005955,0,train
orange,,vase,yellow,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,2.4827000000029784,1,train
purple,,vase,lightblue,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,1.2148999999910615,1,train
orange,,vase,yellow,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,1.114400000005972,1,train
orange,,vase,yellow,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.9819999999999993,1,train
orange,,vase,lightblue,,English,Memory,576511,67dbbdb452081ea930c8ab17,6.150900000005976,,2025-05-05_08h13.34.190,,2025-05-05,0.7941999999880807,1,trial
purple,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.6176999999880763,1,trial
green,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.5677999999970211,1,trial
deepblue,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.7720000000000198,1,trial
orange,,vase,yellow,,English,Memory,576511,67dbbdb452081ea930c8ab17,1.9341000000089252,,2025-05-05_08h13.34.190,,2025-05-05,0.7302000000029807,1,trial
green,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.46810000000894547,1,trial
green,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.3507000000029734,1,trial
green,,vase,red,,English,Memory,576511,67dbbdb452081ea930c8ab17,0.7192000000029566,,2025-05-05_08h13.34.190,,2025-05-05,0.49920000000298614,1,trial
green,,vase,yellow,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.4165999999940482,1,trial
purple,,vase,lightblue,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.634799999997,1,trial
purple,,vase,lightblue,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.5471000000089532,1,trial
orange,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.6684000000059598,1,trial
deepblue,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.5822999999970193,1,trial
orange,,vase,yellow,,English,Memory,576511,67dbbdb452081ea930c8ab17,1.132200000002996,,2025-05-05_08h13.34.190,,2025-05-05,0.6754000000059648,1,trial
orange,,vase,yellow,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.5266000000089548,1,trial
deepblue,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.5261000000089382,1,trial
orange,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.33220000000298455,1,trial
deepblue,,vase,yellow,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.4632000000029848,1,trial
orange,,vase,lightblue,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.3845999999940375,1,trial
green,,vase,lightblue,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,1.1963999999910584,1,trial
deepblue,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.4335999999940441,1,trial
deepblue,2.2990999999940414,vase,green,1,English,Memory,576511,67dbbdb452081ea930c8ab17,1.031900000005976,,2025-05-05_08h13.34.190,,2025-05-05,3.455999999999989,1,trial
green,,vase,yellow,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.43039999999106726,1,trial
green,,vase,lightblue,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.36589999999108613,1,trial
orange,,vase,yellow,,English,Memory,576511,67dbbdb452081ea930c8ab17,1.0815000000000055,,2025-05-05_08h13.34.190,,2025-05-05,0.6327999999970189,1,trial
deepblue,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.8849000000059561,1,trial
purple,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.5349999999999966,1,trial
green,,vase,lightblue,,English,Memory,576511,67dbbdb452081ea930c8ab17,0.9239999999999782,,2025-05-05_08h13.34.190,,2025-05-05,0.6987999999970214,1,trial
purple,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.39870000000297523,1,trial
deepblue,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.5542000000029645,1,trial
purple,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.4639000000059639,1,trial
purple,,vase,lightblue,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.37740000000596297,1,trial
purple,,vase,green,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.4980999999940252,1,trial
purple,,vase,red,,English,,576511,67dbbdb452081ea930c8ab17,,,2025-05-05_08h13.34.190,,2025-05-05,0.3969000000059566,1,trial
deepblue,,vase,green,,English,Memory,576511,67dbbdb452081ea930c8ab17,0.9136999999880686,,2025-05-05_08h13.34.190,,2025-05-05,0.4876000000089391,1,trial
