vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,4.713999999999999,0,train
green,,flower,yellow,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,1.3633000000119182,0,train
green,,flower,yellow,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,1.831300000011936,1,train
deepblue,,flower,red,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,1.012899999976156,1,train
deepblue,,flower,yellow,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,1.011299999952314,1,train
green,,flower,red,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7972999999523154,1,train
deepblue,,flower,green,,English,Memory,51508,67dd86359a67e2d6442865f1,7.546899999976176,,2025-05-05_03h45.26.773,,2025-05-05,0.9562999999523072,1,trial
green,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7800000000000011,1,trial
deepblue,,flower,green,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.9306000000238441,1,trial
green,,flower,red,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.863799999952306,1,trial
purple,,flower,red,,English,Memory,51508,67dd86359a67e2d6442865f1,1.361899999976174,,2025-05-05_03h45.26.773,,2025-05-05,1.0454000000357837,1,trial
purple,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7156999999880895,1,trial
purple,,flower,green,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.8306000000238214,1,trial
deepblue,,flower,green,,English,Memory,51508,67dd86359a67e2d6442865f1,2.692199999988077,,2025-05-05_03h45.26.773,,2025-05-05,0.681400000035751,1,trial
green,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.9297000000476885,1,trial
purple,,flower,green,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.8964999999999748,1,trial
green,,flower,red,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,1.2303000000119084,0,trial
purple,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.8783999999761534,1,trial
purple,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7125999999642261,1,trial
orange,,flower,lightblue,,English,Memory,51508,67dd86359a67e2d6442865f1,1.262399999976168,,2025-05-05_03h45.26.773,,2025-05-05,0.6811000000238323,1,trial
deepblue,,flower,green,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,1.3133000000119068,0,trial
orange,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.6977999999523092,1,trial
orange,,flower,green,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7665999999642281,1,trial
green,,flower,red,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,1.1425999999642045,1,trial
orange,,flower,lightblue,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.8284000000357423,1,trial
green,,flower,yellow,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7162000000477065,1,trial
deepblue,,flower,yellow,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.6475999999642568,1,trial
orange,3.5206999999880395,flower,yellow,1,English,Memory,51508,67dd86359a67e2d6442865f1,1.429600000023811,,2025-05-05_03h45.26.773,,2025-05-05,3.0075999999642136,1,trial
deepblue,,flower,red,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7321999999880404,1,trial
orange,,flower,yellow,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.7300000000000182,1,trial
purple,,flower,green,,English,Memory,51508,67dd86359a67e2d6442865f1,1.2800000000000296,,2025-05-05_03h45.26.773,,2025-05-05,1.4783000000119273,0,trial
orange,,flower,green,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.896900000035771,1,trial
green,,flower,yellow,,English,,51508,67dd86359a67e2d6442865f1,,,2025-05-05_03h45.26.773,,2025-05-05,0.5635999999642536,1,trial
