vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
deepblue,,vase,green,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,1.5276000000014847,1,train
green,,vase,red,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,0.8658000000044836,1,train
green,,vase,yellow,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,0.7338999999985134,1,train
orange,,vase,green,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,1.0325999999940336,1,train
deepblue,,vase,yellow,,English,Memory,597279,67e069199f5b036960b0cc5f,5.614700000002983,,2025-05-05_05h18.00.301,,2025-05-05,1.377999999999986,1,trial
deepblue,,vase,red,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,1.3152000000029602,1,trial
deepblue,,vase,green,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,0.800699999995544,1,trial
orange,,vase,yellow,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,1.4998999999985188,1,trial
purple,,vase,green,,English,Memory,597279,67e069199f5b036960b0cc5f,3.166799999997039,,2025-05-05_05h18.00.301,,2025-05-05,1.6168000000044458,1,trial
purple,,vase,green,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,0.9824999999999875,1,trial
green,,vase,yellow,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,1.1177000000029693,1,trial
green,,vase,lightblue,,English,Memory,597279,67e069199f5b036960b0cc5f,3.4331999999955087,,2025-05-05_05h18.00.301,,2025-05-05,0.983799999997018,1,trial
green,,vase,yellow,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,0.6998000000044726,1,trial
green,,vase,lightblue,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,0.6661000000014781,1,trial
deepblue,,vase,red,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,1.7833000000044876,0,trial
green,,vase,red,,English,,597279,67e069199f5b036960b0cc5f,,,2025-05-05_05h18.00.301,,2025-05-05,1.1154999999999973,1,trial
