vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,1.119399999976153,1,train
purple,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.6973000000715217,1,train
purple,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.615100000023844,1,train
purple,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.6327000000476914,1,train
deepblue,,vase,green,,English,Memory,930655,67e43ab38673a5525252c342,3.963000000000008,,2025-05-05_05h27.48.613,,2025-05-05,0.5713999999761654,1,trial
purple,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5980999999046333,1,trial
purple,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.581100000023838,1,trial
deepblue,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5810999999046373,1,trial
deepblue,,vase,yellow,,English,Memory,930655,67e43ab38673a5525252c342,1.4496000000238354,,2025-05-05_05h27.48.613,,2025-05-05,0.5301000000238361,1,trial
deepblue,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5464000000953604,1,trial
purple,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5703000000715264,1,trial
purple,,vase,lightblue,,English,Memory,930655,67e43ab38673a5525252c342,1.4816000000238319,,2025-05-05_05h27.48.613,,2025-05-05,0.6481000000238453,1,trial
green,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.6147999999523108,1,trial
orange,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.7480999999046389,1,trial
deepblue,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5821000000238428,1,trial
deepblue,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5144999999999982,1,trial
purple,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.46460000002383595,1,trial
green,,vase,red,,English,Memory,930655,67e43ab38673a5525252c342,2.965300000071508,,2025-05-05_05h27.48.613,,2025-05-05,0.5315000000000225,1,trial
green,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.798100000023851,1,trial
orange,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.4662999999523265,1,trial
orange,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5823999999761611,1,trial
green,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.4651999999284726,1,trial
green,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.38209999990462507,1,trial
orange,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.4151000000238412,1,trial
green,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.3819000000953565,1,trial
deepblue,1.4587000000476849,vase,green,1,English,Memory,930655,67e43ab38673a5525252c342,1.2648999999761656,,2025-05-05_05h27.48.613,,2025-05-05,6.674899999976162,1,trial
orange,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.547799999952332,1,trial
purple,,vase,green,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5472999999523154,1,trial
orange,,vase,green,,English,Memory,930655,67e43ab38673a5525252c342,2.298600000023839,,2025-05-05_05h27.48.613,,2025-05-05,0.5322000000476805,1,trial
orange,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5483999999761409,1,trial
green,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.48699999999999477,1,trial
green,,vase,yellow,,English,Memory,930655,67e43ab38673a5525252c342,0.8650000000000091,,2025-05-05_05h27.48.613,,2025-05-05,0.41469999992847306,1,trial
deepblue,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.7155999999046401,1,trial
deepblue,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.3814999999999884,1,trial
deepblue,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.4484999999999957,1,trial
green,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.4322000000476862,1,trial
green,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.4486000000238448,1,trial
purple,,vase,red,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.4983999999761579,1,trial
deepblue,,vase,red,,English,Memory,930655,67e43ab38673a5525252c342,1.6492999999522908,,2025-05-05_05h27.48.613,,2025-05-05,0.6143999999761718,1,trial
orange,,vase,yellow,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5478999999761527,1,trial
purple,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.43209999990463643,1,trial
green,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.37999999999999545,1,trial
purple,,vase,lightblue,,English,Memory,930655,67e43ab38673a5525252c342,1.4158999999761477,,2025-05-05_05h27.48.613,,2025-05-05,0.5312999999523242,1,trial
orange,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.5141000000238591,1,trial
green,,vase,lightblue,,English,,930655,67e43ab38673a5525252c342,,,2025-05-05_05h27.48.613,,2025-05-05,0.3825000000000216,1,trial
