vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,flower,lightblue,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,6.786799999952336,0,train
purple,,flower,lightblue,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,211.27849999999995,0,train
deepblue,,flower,green,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,5.160599999904662,1,train
purple,,flower,red,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,2.894999999999982,0,train
orange,,flower,green,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,2.2432999999523418,0,train
orange,,flower,yellow,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,1.8637999999523345,1,train
purple,,flower,green,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,4.268400000095312,0,train
purple,,flower,lightblue,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,10.824499999999944,0,train
orange,,flower,green,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,6.735599999904707,1,train
green,,flower,lightblue,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,5.267399999856934,0,train
orange,,flower,yellow,,English,Intuition,784990,67e4631ec39e3a7f4861b96d,29.192000000000007,,2025-05-05_04h41.32.380,,2025-05-05,3.058099999904698,0,trial
green,,flower,red,,English,,784990,67e4631ec39e3a7f4861b96d,,,2025-05-05_04h41.32.380,,2025-05-05,3.0997999999523245,0,trial
