vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,green,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,10.430400000005953,0,train
orange,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,2.9333000000119256,0,train
green,,vase,red,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,10.700100000023852,0,train
deepblue,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,3.955999999999989,0,train
orange,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.9502999999821213,0,train
orange,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,3.2165999999940595,1,train
green,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,4.632799999982126,0,train
deepblue,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,1.3491999999880875,1,train
purple,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.8831999999880793,1,train
deepblue,,vase,green,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.9337000000178932,1,train
purple,,vase,lightblue,,English,Memory,375915,67e6619a3bf0679ee4175214,8.430800000011914,,2025-05-04_18h17.26.667,,2025-05-04,1.0790999999940425,1,trial
purple,,vase,green,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,1.1324999999999932,1,trial
orange,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.6590999999940266,1,trial
green,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.46649999999999636,1,trial
deepblue,,vase,red,,English,Memory,375915,67e6619a3bf0679ee4175214,3.3332000000178823,,2025-05-04_18h17.26.667,,2025-05-04,0.8172000000178912,1,trial
purple,,vase,red,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.6497000000179014,1,trial
orange,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.6335999999940327,1,trial
purple,,vase,lightblue,,English,Memory,375915,67e6619a3bf0679ee4175214,3.3158000000119046,,2025-05-04_18h17.26.667,,2025-05-04,0.4657000000178755,1,trial
green,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.8668999999761695,1,trial
orange,,vase,green,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.8984999999999843,1,trial
orange,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.46580000001193866,1,trial
deepblue,,vase,red,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.6005000000000109,1,trial
deepblue,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.515500000000003,1,trial
purple,,vase,green,,English,Intuition,375915,67e6619a3bf0679ee4175214,1.5997999999821388,,2025-05-04_18h17.26.667,,2025-05-04,0.7159999999999798,1,trial
deepblue,,vase,green,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.4829000000059409,1,trial
deepblue,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.43270000001786,1,trial
deepblue,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.6657000000178925,1,trial
purple,,vase,red,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.748500000000007,1,trial
deepblue,,vase,red,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.5103000000119096,1,trial
purple,,vase,lightblue,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.5995000000000061,1,trial
orange,,vase,yellow,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.41619999998806634,1,trial
orange,1.2765999999940618,vase,green,1,English,Intuition,375915,67e6619a3bf0679ee4175214,1.9172000000178855,,2025-05-04_18h17.26.667,,2025-05-04,2.6928000000118857,0,trial
green,,vase,red,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.6668000000119036,1,trial
deepblue,,vase,green,,English,,375915,67e6619a3bf0679ee4175214,,,2025-05-04_18h17.26.667,,2025-05-04,0.999499999999955,1,trial
