vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,171.1105,1,train
orange,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,2.0815999999978203,1,train
purple,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,1.9700999999977284,1,train
green,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,1.7976999999992245,1,train
green,,vase,red,,English,Memory,369085,67ee3407eb3409e71337a5fa,9.673800000000767,,2025-05-05_12h53.57.442,,2025-05-05,1.040899999998544,1,trial
deepblue,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.9348999999984926,0,trial
deepblue,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,1.1771999999992886,0,trial
orange,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,5.450900000002207,0,trial
deepblue,,vase,yellow,,English,Memory,369085,67ee3407eb3409e71337a5fa,2.8385000000000673,,2025-05-05_12h53.57.442,,2025-05-05,0.9346999999992249,0,trial
green,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,23.224000000000046,1,trial
orange,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,13.473400000002243,0,trial
deepblue,,vase,green,,English,Other,369085,67ee3407eb3409e71337a5fa,1.1188000000007605,,2025-05-05_12h53.57.442,,2025-05-05,1.2155999999977212,1,trial
orange,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,5.383800000000747,0,trial
purple,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,1.5490000000000919,1,trial
purple,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.6345000000000027,1,trial
deepblue,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.8324999999999818,1,trial
green,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.8160000000000309,1,trial
deepblue,,vase,red,,English,Memory,369085,67ee3407eb3409e71337a5fa,3.146100000001411,,2025-05-05_12h53.57.442,,2025-05-05,1.3840000000000146,1,trial
orange,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.8996999999992568,0,trial
purple,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,14.332399999998529,0,trial
green,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,6.5020999999977676,1,trial
green,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.7373999999985017,1,trial
purple,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.7329999999999472,1,trial
orange,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,11.89149999999995,0,trial
purple,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,4.960599999997839,1,trial
orange,1.212699999999245,vase,green,1,English,Intuition,369085,67ee3407eb3409e71337a5fa,1.0868000000007214,,2025-05-05_12h53.57.442,,2025-05-05,1.7804000000022597,0,trial
purple,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,7.216199999999276,1,trial
orange,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,1.8669999999999618,0,trial
green,,vase,lightblue,,English,Memory,369085,67ee3407eb3409e71337a5fa,1.0038999999984526,,2025-05-05_12h53.57.442,,2025-05-05,0.7993000000008124,1,trial
deepblue,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.8338000000007924,1,trial
green,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.8498000000007551,1,trial
orange,,vase,lightblue,,English,Intuition,369085,67ee3407eb3409e71337a5fa,1.3576000000015256,,2025-05-05_12h53.57.442,,2025-05-05,0.9179000000023052,1,trial
purple,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.48269999999922675,1,trial
green,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.7206000000014683,1,trial
orange,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.8998000000007096,1,trial
green,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.647699999999304,1,trial
deepblue,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.9681999999992286,0,trial
deepblue,,vase,yellow,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.7970000000000255,1,trial
orange,,vase,green,,English,Other,369085,67ee3407eb3409e71337a5fa,2.687999999999988,,2025-05-05_12h53.57.442,,2025-05-05,0.6871999999992795,1,trial
purple,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,2.822599999997692,0,trial
deepblue,,vase,red,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.8759000000022752,1,trial
green,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.9338000000008151,1,trial
purple,,vase,lightblue,,English,Memory,369085,67ee3407eb3409e71337a5fa,0.9371000000014647,,2025-05-05_12h53.57.442,,2025-05-05,0.5665000000000191,0,trial
green,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.5809000000022024,1,trial
orange,,vase,lightblue,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.7321999999992386,1,trial
deepblue,,vase,green,,English,,369085,67ee3407eb3409e71337a5fa,,,2025-05-05_12h53.57.442,,2025-05-05,0.9771999999992431,1,trial
deepblue,,flower,green,,English,Intuition,369085,67ee3407eb3409e71337a5fa,5.191500000000019,3.415499999999952,2025-05-05_12h53.57.442,0,2025-05-05,3.183999999999969,0,surprise
green,,flower,red,,English,Other,369085,67ee3407eb3409e71337a5fa,1.4154999999999518,4.716300000000729,2025-05-05_12h53.57.442,0,2025-05-05,4.266900000002238,0,surprise
orange,,flower,green,,English,Intuition,369085,67ee3407eb3409e71337a5fa,3.3793000000007396,2.8168999999985544,2025-05-05_12h53.57.442,0,2025-05-05,1.3818999999984953,1,surprise
green,,flower,yellow,,English,Memory,369085,67ee3407eb3409e71337a5fa,0.9323000000007369,1.9509999999999081,2025-05-05_12h53.57.442,0,2025-05-05,2.4641000000015083,1,surprise
