vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,39.381099999999634,0,train
deepblue,,flower,red,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,2.5092000000001917,1,train
purple,,flower,lightblue,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,5.782699999999238,1,train
deepblue,,flower,red,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,4.229500000000002,0,train
orange,,flower,lightblue,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.981299999999834,1,train
purple,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.1332999999997924,1,train
purple,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.2125000000000057,1,train
deepblue,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.296099999999626,1,train
green,,flower,lightblue,,English,Memory,792008,67eef38b542c57c73ba194b4,6.06310000000056,,2025-05-05_06h28.00.543,,2025-05-05,0.7735999999996181,1,trial
deepblue,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.503400000000397,1,trial
green,,flower,red,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.6782999999998083,1,trial
deepblue,,flower,yellow,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.1129999999999995,1,trial
green,,flower,yellow,,English,Memory,792008,67eef38b542c57c73ba194b4,4.727600000000535,,2025-05-05_06h28.00.543,,2025-05-05,1.145099999999644,1,trial
green,,flower,yellow,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.6966000000005579,1,trial
deepblue,,flower,red,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.9018999999994435,1,trial
green,,flower,yellow,,English,Memory,792008,67eef38b542c57c73ba194b4,2.177500000000009,,2025-05-05_06h28.00.543,,2025-05-05,0.9870000000000232,1,trial
purple,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.229299999999796,1,trial
deepblue,,flower,yellow,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.0682000000002176,1,trial
deepblue,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.9529999999999745,1,trial
orange,,flower,lightblue,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.8034000000003516,1,trial
deepblue,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.9680000000000177,1,trial
purple,,flower,lightblue,,English,Memory,792008,67eef38b542c57c73ba194b4,1.8802999999998065,,2025-05-05_06h28.00.543,,2025-05-05,0.8470999999996138,1,trial
purple,,flower,red,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.9149000000003298,1,trial
deepblue,,flower,red,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.7370999999996002,1,trial
deepblue,,flower,yellow,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.8845000000000027,1,trial
deepblue,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.063899999999478,1,trial
orange,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.7321000000005711,1,trial
orange,,flower,lightblue,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.8034000000003516,1,trial
purple,,flower,green,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,0.8156999999992536,1,trial
purple,3.673700000000224,flower,red,1,English,Guess,792008,67eef38b542c57c73ba194b4,2.593999999999994,,2025-05-05_06h28.00.543,,2025-05-05,6.866799999999785,1,trial
purple,,flower,lightblue,,English,,792008,67eef38b542c57c73ba194b4,,,2025-05-05_06h28.00.543,,2025-05-05,1.2644999999999982,1,trial
