vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,6.610400000035767,0,train
purple,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.2786999999880777,1,train
orange,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,2.3275000000000006,1,train
orange,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.0639000000357584,1,train
deepblue,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.7619000000357516,1,train
green,,vase,red,,English,Intuition,60359,67ef6e8e9bfc15c060497365,6.99610000002383,,2025-05-05_05h51.24.267,,2025-05-05,0.9760999999642337,1,trial
deepblue,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.3292000000476776,1,trial
orange,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.0466999999880784,1,trial
green,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.8134999999999764,1,trial
green,,vase,yellow,,English,Memory,60359,67ef6e8e9bfc15c060497365,1.844099999964243,,2025-05-05_05h51.24.267,,2025-05-05,0.7141000000238193,1,trial
green,,vase,red,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.4481000000238282,1,trial
deepblue,,vase,red,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.0464999999999804,1,trial
orange,,vase,lightblue,,English,Memory,60359,67ef6e8e9bfc15c060497365,2.4090999999642406,,2025-05-05_05h51.24.267,,2025-05-05,1.2800000000000011,1,trial
purple,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.9803999999761572,1,trial
deepblue,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.0966999999880613,1,trial
orange,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.196199999988096,1,trial
purple,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.8638999999761836,1,trial
purple,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.9297999999523086,1,trial
deepblue,,vase,red,,English,Memory,60359,67ef6e8e9bfc15c060497365,2.7589000000357657,,2025-05-05_05h51.24.267,,2025-05-05,1.5121000000238496,1,trial
green,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.0133999999761727,1,trial
green,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.8804999999999836,1,trial
orange,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.2461999999880788,1,trial
orange,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.0799000000357637,1,trial
green,,vase,red,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.6643000000119059,1,trial
purple,,vase,red,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.3789000000357419,1,trial
deepblue,,vase,green,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.2299000000357694,1,trial
purple,3.028399999976159,vase,lightblue,1,English,Memory,60359,67ef6e8e9bfc15c060497365,2.160199999988066,,2025-05-05_05h51.24.267,,2025-05-05,5.317900000035763,0,trial
green,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.7638000000119121,1,trial
orange,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.3291000000238284,1,trial
deepblue,,vase,green,,English,Memory,60359,67ef6e8e9bfc15c060497365,2.310100000023823,,2025-05-05_05h51.24.267,,2025-05-05,1.0440000000000111,1,trial
purple,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.2131999999880918,1,trial
deepblue,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.2961000000238414,1,trial
purple,,vase,red,,English,Memory,60359,67ef6e8e9bfc15c060497365,2.2438000000119303,,2025-05-05_05h51.24.267,,2025-05-05,1.0134999999999934,1,trial
purple,,vase,red,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.1463000000119337,1,trial
deepblue,,vase,red,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.9968000000119162,1,trial
orange,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,2.576300000011912,1,trial
green,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.1634000000357503,1,trial
orange,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.4791000000238341,1,trial
deepblue,,vase,yellow,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,1.6617999999522794,1,trial
green,,vase,lightblue,,English,Memory,60359,67ef6e8e9bfc15c060497365,1.5960999999643093,,2025-05-05_05h51.24.267,,2025-05-05,1.1136000000238369,1,trial
green,,vase,lightblue,,English,,60359,67ef6e8e9bfc15c060497365,,,2025-05-05_05h51.24.267,,2025-05-05,0.7979000000357814,1,trial
