vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
orange,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,3.380700000000175,0,train
green,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.557399999999916,0,train
deepblue,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,8.799200000000184,0,train
purple,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,3.11529999999982,1,train
deepblue,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.5608000000002846,0,train
green,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.7990000000000066,1,train
green,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.856800000000277,1,train
orange,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.1115000000000066,1,train
purple,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.899600000000106,1,train
purple,,flower,green,,English,Memory,419380,67f10e19e5d3359e59ecb81e,11.303600000000102,,2025-05-05_05h12.17.419,,2025-05-05,1.7785000000000082,1,trial
purple,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.2487000000001842,1,trial
deepblue,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.4162999999998078,1,trial
purple,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.0159999999999911,1,trial
green,,flower,yellow,,English,Memory,419380,67f10e19e5d3359e59ecb81e,3.2154999999999916,,2025-05-05_05h12.17.419,,2025-05-05,0.9664999999999964,1,trial
deepblue,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,0.7832000000001926,1,trial
orange,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,0.9095000000000084,1,trial
green,,flower,yellow,,English,Memory,419380,67f10e19e5d3359e59ecb81e,1.3396999999997092,,2025-05-05_05h12.17.419,,2025-05-05,1.1345000000000027,1,trial
deepblue,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.048599999999624,1,trial
green,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.0158000000002971,1,trial
orange,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.3898999999999262,1,trial
green,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.8148999999999091,1,trial
orange,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.513600000000082,1,trial
purple,,flower,red,,English,Guess,419380,67f10e19e5d3359e59ecb81e,0.1491000000000895,,2025-05-05_05h12.17.419,,2025-05-05,1.2087000000001922,1,trial
purple,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.6656000000000972,1,trial
deepblue,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,4.699099999999646,1,trial
purple,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,0.8816999999997392,1,trial
purple,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,0.9476999999997133,1,trial
orange,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.5190000000000055,1,trial
green,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.798500000000047,1,trial
deepblue,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.116100000000074,1,trial
green,3.368299999999806,flower,yellow,1,English,Guess,419380,67f10e19e5d3359e59ecb81e,3.5976000000001136,,2025-05-05_05h12.17.419,,2025-05-05,6.618499999999983,0,trial
purple,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.14870000000019,1,trial
deepblue,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.4012000000001876,1,trial
orange,,flower,yellow,,English,Memory,419380,67f10e19e5d3359e59ecb81e,2.1911999999996965,,2025-05-05_05h12.17.419,,2025-05-05,1.2399999999999523,1,trial
green,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.2318999999998823,1,trial
orange,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.3811000000001172,1,trial
purple,,flower,lightblue,,English,Memory,419380,67f10e19e5d3359e59ecb81e,2.132000000000005,,2025-05-05_05h12.17.419,,2025-05-05,0.999700000000189,1,trial
orange,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.2757999999998333,1,trial
green,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.0494999999999663,1,trial
purple,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.1827999999998156,1,trial
orange,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,0.8001000000001,1,trial
deepblue,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.3571000000000595,1,trial
green,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.5425000000000182,0,trial
deepblue,,flower,green,,English,Memory,419380,67f10e19e5d3359e59ecb81e,1.7843000000003144,,2025-05-05_05h12.17.419,,2025-05-05,1.2657999999997855,0,trial
deepblue,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.0661000000001195,1,trial
orange,,flower,green,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.374900000000366,1,trial
green,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,2.145500000000027,1,trial
green,,flower,red,,English,Memory,419380,67f10e19e5d3359e59ecb81e,2.115300000000275,,2025-05-05_05h12.17.419,,2025-05-05,1.1827000000001817,1,trial
purple,,flower,red,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,1.4495000000000005,0,trial
deepblue,,flower,yellow,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,0.7659999999999627,1,trial
orange,,flower,lightblue,,English,,419380,67f10e19e5d3359e59ecb81e,,,2025-05-05_05h12.17.419,,2025-05-05,0.7972000000002026,1,trial
purple,,vase,lightblue,,English,Guess,419380,67f10e19e5d3359e59ecb81e,2.047300000000291,4.683399999999949,2025-05-05_05h12.17.419,0,2025-05-05,5.230100000000107,1,surprise
deepblue,,vase,green,,English,Guess,419380,67f10e19e5d3359e59ecb81e,2.1090000000000373,1.3584999999999923,2025-05-05_05h12.17.419,0,2025-05-05,3.8220999999996366,1,surprise
deepblue,,vase,red,,English,Guess,419380,67f10e19e5d3359e59ecb81e,2.1407999999998424,7.523100000000113,2025-05-05_05h12.17.419,0,2025-05-05,3.4327999999998156,0,surprise
orange,,vase,yellow,,English,Guess,419380,67f10e19e5d3359e59ecb81e,1.8137999999997874,3.3494999999999777,2025-05-05_05h12.17.419,1,2025-05-05,3.0666999999997415,1,surprise
