vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
deepblue,,flower,green,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,3.4286999999999495,1,train
orange,,flower,yellow,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,5.364000000000004,1,train
purple,,flower,green,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.966199999999958,1,train
green,,flower,lightblue,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.7090999999998644,1,train
orange,,flower,lightblue,,English,Memory,174760,67f1828fce9184243efc0b2a,22.827400000000154,,2025-05-05_02h46.56.217,,2025-05-05,0.6950999999998544,1,trial
purple,,flower,lightblue,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,1.299300000000045,1,trial
purple,,flower,green,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.7163999999999078,1,trial
deepblue,,flower,green,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.8161999999999523,1,trial
green,,flower,lightblue,,English,Memory,174760,67f1828fce9184243efc0b2a,1.599300000000028,,2025-05-05_02h46.56.217,,2025-05-05,0.5990999999998508,1,trial
purple,,flower,green,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.5492000000001838,1,trial
deepblue,,flower,red,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.7914000000001522,1,trial
deepblue,,flower,yellow,,English,Memory,174760,67f1828fce9184243efc0b2a,5.331999999999994,,2025-05-05_02h46.56.217,,2025-05-05,0.6661000000000854,1,trial
orange,,flower,lightblue,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.7985000000000184,1,trial
orange,,flower,yellow,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.5656999999999641,1,trial
orange,,flower,yellow,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.6494999999999891,1,trial
green,,flower,red,,English,,174760,67f1828fce9184243efc0b2a,,,2025-05-05_02h46.56.217,,2025-05-05,0.7989999999999782,1,trial
