random_task_rt,random_task_success,flower_color,prolific_id,confidance_answer,date_timestamp,surprised_irrelevant_success,vase_color,sub,confidance_rt,rel,language,surprised_irrelevant_rt,date,relevant_rt,relevant_success,exp_phase
,,green,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,purple,120951,,vase,English,,2025-04-09,9.095099999904647,0,train
,,lightblue,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,green,120951,,vase,English,,2025-04-09,4.881899999618554,1,train
,,green,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,purple,120951,,vase,English,,2025-04-09,1.2658000001907226,1,train
,,green,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,purple,120951,,vase,English,,2025-04-09,0.8825000000000216,1,train
,,yellow,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,deepblue,120951,,vase,English,,2025-04-09,1.2994999999999948,1,train
,,green,67f3c76a459171baef98ba93,Memory,2025-04-09_11h30.06.914,,purple,120951,4.54849999999999,vase,English,,2025-04-09,1.0613000001907267,1,trial
,,red,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,green,120951,,vase,English,,2025-04-09,3.115400000095377,1,trial
,,lightblue,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,green,120951,,vase,English,,2025-04-09,2.7994000000953747,1,trial
,,red,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,purple,120951,,vase,English,,2025-04-09,1.1328000001907412,1,trial
,,yellow,67f3c76a459171baef98ba93,Memory,2025-04-09_11h30.06.914,,deepblue,120951,3.315400000095366,vase,English,,2025-04-09,1.1827999997138932,1,trial
,,green,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,orange,120951,,vase,English,,2025-04-09,1.7834000000953552,1,trial
,,lightblue,67f3c76a459171baef98ba93,,2025-04-09_11h30.06.914,,orange,120951,,vase,English,,2025-04-09,3.1152999997138977,1,trial
