vase_color,random_task_rt,rel,flower_color,random_task_success,language,confidance_answer,sub,prolific_id,confidance_rt,surprised_irrelevant_rt,date_timestamp,surprised_irrelevant_success,date,relevant_rt,relevant_success,exp_phase
purple,,vase,green,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,1.6486000000238619,0,train
deepblue,,vase,green,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.6986000000238448,1,train
deepblue,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.8316000000238262,1,train
orange,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,1.0551999999881048,1,train
green,,vase,red,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.8495999999642265,1,train
deepblue,,vase,green,,English,Memory,730415,At the Abattoir,7.10869999998809,,2025-05-05_11h02.18.182,,2025-05-05,1.0771999999880677,1,trial
orange,,vase,lightblue,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,2.1973000000119214,0,trial
green,,vase,lightblue,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.5652000000476676,1,trial
purple,,vase,lightblue,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.8984000000357639,1,trial
orange,,vase,lightblue,,English,Memory,730415,At the Abattoir,2.51420000004768,,2025-05-05_11h02.18.182,,2025-05-05,2.3634999999999877,0,trial
green,,vase,lightblue,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,4.194999999999993,1,trial
purple,,vase,green,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.9656000000238407,1,trial
orange,,vase,lightblue,,English,Memory,730415,At the Abattoir,1.7981999999880713,,2025-05-05_11h02.18.182,,2025-05-05,0.5991000000238387,0,trial
green,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.6655000000000086,1,trial
deepblue,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,1.1887000000476746,1,trial
orange,,vase,green,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,2.8638000000119064,0,trial
green,,vase,lightblue,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.2821000000238314,1,trial
deepblue,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.7156999999880895,1,trial
purple,,vase,red,,English,Memory,730415,At the Abattoir,1.7808000000119364,,2025-05-05_11h02.18.182,,2025-05-05,0.2826999999880968,1,trial
orange,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,1.5141999999880795,1,trial
orange,,vase,green,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,1.8969999999999914,1,trial
purple,,vase,lightblue,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.44959999996422084,1,trial
orange,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,1.6316999999880863,0,trial
green,,vase,red,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.6986999999880936,1,trial
green,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.38239999997614404,0,trial
orange,,vase,green,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.9978000000119209,1,trial
purple,5.646999999999991,vase,lightblue,0,English,Intuition,730415,At the Abattoir,1.769199999988075,,2025-05-05_11h02.18.182,,2025-05-05,2.765900000035799,0,trial
green,,vase,red,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.6156999999880668,1,trial
orange,,vase,yellow,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,1.7646999999880677,1,trial
green,,vase,red,,English,Intuition,730415,At the Abattoir,1.8473999999761759,,2025-05-05_11h02.18.182,,2025-05-05,1.0658000000119046,1,trial
purple,,vase,lightblue,,English,,730415,At the Abattoir,,,2025-05-05_11h02.18.182,,2025-05-05,0.5653000000119164,1,trial
