Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681864cb95ba84f2254e067c,66350578901ab921d6a60af9,APPROVED,Not Applicable,2025-05-05T07:12:11.544000Z,2025-05-05T07:19:13.332000Z,2025-05-06T06:38:27.247000Z,2025-05-05T07:19:13.790028Z,422.0,NOCODE,80,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
681864d562201d9ecb96d37f,67e97d506e0dfa7ff0b407c5,APPROVED,Not Applicable,2025-05-05T07:12:27.449000Z,2025-05-05T07:17:58.439000Z,2025-05-06T06:38:27.511000Z,2025-05-05T07:17:58.952141Z,331.0,NOCODE,329,36,Male,White,United States,United States,United States,English,No,Full-Time
681866a4d480d50033356328,671e39c25e5e3f340a6f21d4,APPROVED,Not Applicable,2025-05-05T07:20:18.235000Z,2025-05-05T07:27:22.269000Z,2025-05-06T06:38:27.746000Z,2025-05-05T07:27:22.731002Z,425.0,NOCODE,352,32,Male,Black,Nigeria,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
68186719391583ba9acbd0fe,64011ddd299336698fa0c488,APPROVED,Not Applicable,2025-05-05T07:22:06.766000Z,2025-05-05T07:25:35.907000Z,2025-05-06T06:38:27.980000Z,2025-05-05T07:25:36.380943Z,210.0,NOCODE,902,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681869dd42eb00958543bb06,6774b1edcec34c5f0478b968,APPROVED,Not Applicable,2025-05-05T07:34:32.337000Z,2025-05-05T07:42:52.733000Z,2025-05-06T06:38:28.224000Z,2025-05-05T07:42:53.240174Z,501.0,N0CODE,86,62,Male,Black,Kenya,United Kingdom,United Kingdom,English,No,Full-Time
68186a4afbac96f77340af07,63d79fcd741f9cfb2f87152f,APPROVED,Not Applicable,2025-05-05T07:35:50.289000Z,2025-05-05T07:41:34.220000Z,2025-05-06T06:38:28.488000Z,2025-05-05T07:41:34.717427Z,344.0,NOCODE,3686,49,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
68186c30d2f514b6e74e7b33,563f734bcbd4c60005dc9442,APPROVED,Not Applicable,2025-05-05T07:43:47.757000Z,2025-05-05T07:48:52.682000Z,2025-05-06T06:38:28.724000Z,2025-05-05T07:48:53.204996Z,305.0,NOCODE,5087,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68186ca4d8021395ab9b060f,67f1828fce9184243efc0b2a,APPROVED,Not Applicable,2025-05-05T07:45:46.330000Z,2025-05-05T07:53:07.425000Z,2025-05-06T06:38:28.953000Z,2025-05-05T07:53:07.995993Z,442.0,NOCODE,440,21,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
68186d6adf4b0a566d946255,67e4c4b8c49f4b9a84e4c155,APPROVED,Not Applicable,2025-05-05T07:50:21.505000Z,2025-05-05T07:57:52.286000Z,2025-05-06T06:38:29.206000Z,2025-05-05T07:57:52.728799Z,451.0,NOCODE,347,22,Female,White,United States,United States,United States,English,No,Part-Time
68186e6b6d696564d6cf1d7e,67e447aecddbb3792816fe74,APPROVED,Not Applicable,2025-05-05T08:01:28.552000Z,2025-05-05T08:16:24.698000Z,2025-05-06T06:38:29.448000Z,2025-05-05T08:16:25.272518Z,897.0,NOCODE,155,31,Female,White,United States,United States,United States,English,Yes,Full-Time
6818709d80398846a8d9c9e6,678e978dfeca0ba2fca8109f,APPROVED,Not Applicable,2025-05-05T08:02:49.657000Z,2025-05-05T08:06:38.398000Z,2025-05-06T06:38:30.053000Z,2025-05-05T08:06:38.933514Z,229.0,NOCODE,406,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
681873e96338c22c374bc04f,67e6619a3bf0679ee4175214,APPROVED,Not Applicable,2025-05-05T08:16:48.028000Z,2025-05-05T08:23:42.852000Z,2025-05-06T06:38:30.296000Z,2025-05-05T08:23:43.329451Z,415.0,NOCODE,252,36,Female,White,United States,United States,United States,English,No,Part-Time
681876c8d105de0e6d3e2bee,63468b3bd07050877a6beb11,APPROVED,Not Applicable,2025-05-05T08:28:56.564000Z,2025-05-05T08:43:25.848000Z,2025-05-06T06:38:30.538000Z,2025-05-05T08:43:26.315079Z,870.0,NOCODE,1615,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
